#CODE;ENGLISH;FRENCH;GERMAN;POLSKI;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGESE;RUSSIAN;FINNISH;x
##################################################;##################################################;##################################################;##################################################;##################################################;##################################################;##################################################;##################################################;##################################################;##################################################;##################################################;##################################################;##################################################;##################################################;x
# Events ; REMOVE HASH FOR ACTIVE EVENTS AND OPTIONS;;;;;;;;;;;;;x
##################################################;##################################################;##################################################;##################################################;##################################################;##################################################;##################################################;##################################################;##################################################;##################################################;##################################################;##################################################;##################################################;##################################################;x
#ANG;Angola;;;;;;;;;;;;;x
EVTDESC6490;From the demands of sudanese intellectuals to the recent popular uprisings, the nationalist sentiment in Sudan is now widespread and irreversible. The United Nations recognize the right of self determination of all peoples and the legitimacy of our rule in Sudan is hardly defensible. What shall be our position?;;;;;;;;;;;;;x
EVTOPTA6490;Grant immediate independence ensuring good diplomatic relations.;;;;;;;;;;;;;x
EVTOPTB6490;Allow self-rule while keeping control over foreign affairs.;;;;;;;;;;;;;x
EVTOPTC6490;Sudan is an integral part of our territory and forever will be.;;;;;;;;;;;;;x
EVTNAME6491;The Sudanese Independence;;;;;;;;;;;;;x
EVTDESC6491;The sudanese government has been so far complacent with our rule, but after a recent wave of nationalist and pan-african sentiments the status quo is no longer sustainable. Their leaders wish to negotiate a peaceful transition to full indepence, but they are willing to fight for it if necessary.;;;;;;;;;;;;;x
EVTOPTA6491;This was inevitable, grant them independence.;;;;;;;;;;;;;x
EVTOPTB6491;Insubordination will not be tolerated.;;;;;;;;;;;;;x
EVTNAME6492;The Sudanese War;;;;;;;;;;;;;x
EVTDESC6492;Armed groups of rebel militias continue to terrorize the population in Sudan. Our position has always been to keep the integrity of the national territory despite some internal opposition, but international pressure has increased with more and more countries supporting the immediate independence of Sudan. Now the choice between fighting for a territory rightfuly ours at great cost or to give in and save face is yours.;;;;;;;;;;;;;x
EVTOPTA6492;Enough is enough. Accept defeat with dignity.;;;;;;;;;;;;;x
EVTOPTB6492;Crush the rebel scum! Sudan is ours!;;;;;;;;;;;;;x
EVTNAME6493;The Sudanese War;;;;;;;;;;;;;x
EVTDESC6493;Despite our best efforts, the war rages on. The insurgent government has managed to hold its territory and more armed rebel militias are ready to fight. Through backdoor diplomacy we know the insurgents are willing to negotiate, shall we take the opportunity and cease hostilities or take this war to the bitter end?;;;;;;;;;;;;;x
EVTOPTA6493;Negotiate while we have the upper hand.;;;;;;;;;;;;;x
EVTOPTB6493;We don't negotiate with terrorists.;;;;;;;;;;;;;x
#SWA;Swaziland;;;;;;;;;;;;;x
EVTNAME6500;The Swazi Independence;;;;;;;;;;;;;x
EVTDESC6500;From the demands of swazi intellectuals to the recent popular uprisings, the nationalist sentiment in Swaziland is now widespread and irreversible. The United Nations recognize the right of self determination of all peoples and the legitimacy of our rule in Swaziland is hardly defensible. What shall be our position?;;;;;;;;;;;;;x
EVTOPTA6500;Grant immediate independence ensuring good diplomatic relations.;;;;;;;;;;;;;x
EVTOPTB6500;Allow self-rule while keeping control over foreign affairs.;;;;;;;;;;;;;x
EVTOPTC6500;Swaziland is an integral part of our territory and forever will be.;;;;;;;;;;;;;x
EVTNAME6501;The Swazi Independence;;;;;;;;;;;;;x
EVTDESC6501;The swazi government has been so far complacent with our rule, but after a recent wave of nationalist and pan-african sentiments the status quo is no longer sustainable. Their leaders wish to negotiate a peaceful transition to full indepence, but they are willing to fight for it if necessary.;;;;;;;;;;;;;x
EVTOPTA6501;This was inevitable, grant them independence.;;;;;;;;;;;;;x
EVTOPTB6501;Insubordination will not be tolerated.;;;;;;;;;;;;;x
EVTNAME6502;The Swazi War;;;;;;;;;;;;;x
EVTDESC6502;Armed groups of rebel militias continue to terrorize the population in Swaziland. Our position has always been to keep the integrity of the national territory despite some internal opposition, but international pressure has increased with more and more countries supporting the immediate independence of Swaziland. Now the choice between fighting for a territory rightfuly ours at great cost or to give in and save face is yours.;;;;;;;;;;;;;x
EVTOPTA6502;Enough is enough. Accept defeat with dignity.;;;;;;;;;;;;;x
EVTOPTB6502;Crush the rebel scum! Swaziland is ours!;;;;;;;;;;;;;x
EVTNAME6503;The Swazi War;;;;;;;;;;;;;x
EVTDESC6503;Despite our best efforts, the war rages on. The insurgent government has managed to hold its territory and more armed rebel militias are ready to fight. Through backdoor diplomacy we know the insurgents are willing to negotiate, shall we take the opportunity and cease hostilities or take this war to the bitter end?;;;;;;;;;;;;;x
EVTOPTA6503;Negotiate while we have the upper hand.;;;;;;;;;;;;;x
EVTOPTB6503;We don't negotiate with terrorists.;;;;;;;;;;;;;x
#TNG;Tanganyika;;;;;;;;;;;;;x
#TNZ;Tanzania;;;;;;;;;;;;;x
EVTNAME6520;The Tanzanian Independence;;;;;;;;;;;;;x
EVTDESC6520;From the demands of tanzanian intellectuals to the recent popular uprisings, the nationalist sentiment in Tanzania is now widespread and irreversible. The United Nations recognize the right of self determination of all peoples and the legitimacy of our rule in Tanzania is hardly defensible. What shall be our position?;;;;;;;;;;;;;x
EVTOPTA6520;Grant immediate independence ensuring good diplomatic relations.;;;;;;;;;;;;;x
EVTOPTB6520;Allow self-rule while keeping control over foreign affairs.;;;;;;;;;;;;;x
EVTOPTC6520;Tanzania is an integral part of our territory and forever will be.;;;;;;;;;;;;;x
EVTNAME6521;The Tanzanian Independence;;;;;;;;;;;;;x
EVTDESC6521;The tanzanian government has been so far complacent with our rule, but after a recent wave of nationalist and pan-african sentiments the status quo is no longer sustainable. Their leaders wish to negotiate a peaceful transition to full indepence, but they are willing to fight for it if necessary.;;;;;;;;;;;;;x
EVTOPTA6521;This was inevitable, grant them independence.;;;;;;;;;;;;;x
EVTOPTB6521;Insubordination will not be tolerated.;;;;;;;;;;;;;x
EVTNAME6522;The Tanzanian War;;;;;;;;;;;;;x
EVTDESC6522;Armed groups of rebel militias continue to terrorize the population in Tanzania. Our position has always been to keep the integrity of the national territory despite some internal opposition, but international pressure has increased with more and more countries supporting the immediate independence of Tanzania. Now the choice between fighting for a territory rightfuly ours at great cost or to give in and save face is yours.;;;;;;;;;;;;;x
EVTOPTA6522;Enough is enough. Accept defeat with dignity.;;;;;;;;;;;;;x
EVTOPTB6522;Crush the rebel scum! Tanzania is ours!;;;;;;;;;;;;;x
EVTNAME6523;The Tanzanian War;;;;;;;;;;;;;x
EVTDESC6523;Despite our best efforts, the war rages on. The insurgent government has managed to hold its territory and more armed rebel militias are ready to fight. Through backdoor diplomacy we know the insurgents are willing to negotiate, shall we take the opportunity and cease hostilities or take this war to the bitter end?;;;;;;;;;;;;;x
EVTOPTA6523;Negotiate while we have the upper hand.;;;;;;;;;;;;;x
EVTOPTB6523;We don't negotiate with terrorists.;;;;;;;;;;;;;x
#TOG;Togo;;;;;;;;;;;;;x
EVTNAME6530;The Togolese Independence;;;;;;;;;;;;;x
EVTDESC6530;From the demands of togolese intellectuals to the recent popular uprisings, the nationalist sentiment in Togo is now widespread and irreversible. The United Nations recognize the right of self determination of all peoples and the legitimacy of our rule in Togo is hardly defensible. What shall be our position?;;;;;;;;;;;;;x
EVTOPTA6530;Grant immediate independence ensuring good diplomatic relations.;;;;;;;;;;;;;x
EVTOPTB6530;Allow self-rule while keeping control over foreign affairs.;;;;;;;;;;;;;x
EVTOPTC6530;Togo is an integral part of our territory and forever will be.;;;;;;;;;;;;;x
EVTNAME6531;The Togolese Independence;;;;;;;;;;;;;x
EVTDESC6531;The togolese government has been so far complacent with our rule, but after a recent wave of nationalist and pan-african sentiments the status quo is no longer sustainable. Their leaders wish to negotiate a peaceful transition to full indepence, but they are willing to fight for it if necessary.;;;;;;;;;;;;;x
EVTOPTA6531;This was inevitable, grant them independence.;;;;;;;;;;;;;x
EVTOPTB6531;Insubordination will not be tolerated.;;;;;;;;;;;;;x
EVTNAME6532;The Togolese War;;;;;;;;;;;;;x
EVTDESC6532;Armed groups of rebel militias continue to terrorize the population in Togo. Our position has always been to keep the integrity of the national territory despite some internal opposition, but international pressure has increased with more and more countries supporting the immediate independence of Togo. Now the choice between fighting for a territory rightfuly ours at great cost or to give in and save face is yours.;;;;;;;;;;;;;x
EVTOPTA6532;Enough is enough. Accept defeat with dignity.;;;;;;;;;;;;;x
EVTOPTB6532;Crush the rebel scum! Togo is ours!;;;;;;;;;;;;;x
EVTNAME6533;The Togolese War;;;;;;;;;;;;;x
EVTDESC6533;Despite our best efforts, the war rages on. The insurgent government has managed to hold its territory and more armed rebel militias are ready to fight. Through backdoor diplomacy we know the insurgents are willing to negotiate, shall we take the opportunity and cease hostilities or take this war to the bitter end?;;;;;;;;;;;;;x
EVTOPTA6533;Negotiate while we have the upper hand.;;;;;;;;;;;;;x
EVTOPTB6533;We don't negotiate with terrorists.;;;;;;;;;;;;;x
#TUN;Tunisia;;;;;;;;;;;;;x
EVTNAME6540;The Tunisian Independence;;;;;;;;;;;;;x
EVTDESC6540;From the demands of tunisian intellectuals to the recent popular uprisings, the nationalist sentiment in Tunisia is now widespread and irreversible. The United Nations recognize the right of self determination of all peoples and the legitimacy of our rule in Tunisia is hardly defensible. What shall be our position?;;;;;;;;;;;;;x
EVTOPTA6540;Grant immediate independence ensuring good diplomatic relations.;;;;;;;;;;;;;x
EVTOPTB6540;Allow self-rule while keeping control over foreign affairs.;;;;;;;;;;;;;x
EVTOPTC6540;Tunisia is an integral part of our territory and forever will be.;;;;;;;;;;;;;x
EVTNAME6541;The Tunisian Independence;;;;;;;;;;;;;x
EVTDESC6541;The tunisian government has been so far complacent with our rule, but after a recent wave of nationalist and pan-african sentiments the status quo is no longer sustainable. Their leaders wish to negotiate a peaceful transition to full indepence, but they are willing to fight for it if necessary.;;;;;;;;;;;;;x
EVTOPTA6541;This was inevitable, grant them independence.;;;;;;;;;;;;;x
EVTOPTB6541;Insubordination will not be tolerated.;;;;;;;;;;;;;x
EVTNAME6542;The Tunisian War;;;;;;;;;;;;;x
EVTDESC6542;Armed groups of rebel militias continue to terrorize the population in Tunisia. Our position has always been to keep the integrity of the national territory despite some internal opposition, but international pressure has increased with more and more countries supporting the immediate independence of Tunisia. Now the choice between fighting for a territory rightfuly ours at great cost or to give in and save face is yours.;;;;;;;;;;;;;x
EVTOPTA6542;Enough is enough. Accept defeat with dignity.;;;;;;;;;;;;;x
EVTOPTB6542;Crush the rebel scum! Tunisia is ours!;;;;;;;;;;;;;x
EVTNAME6543;The Tunisian War;;;;;;;;;;;;;x
EVTDESC6543;Despite our best efforts, the war rages on. The insurgent government has managed to hold its territory and more armed rebel militias are ready to fight. Through backdoor diplomacy we know the insurgents are willing to negotiate, shall we take the opportunity and cease hostilities or take this war to the bitter end?;;;;;;;;;;;;;x
EVTOPTA6543;Negotiate while we have the upper hand.;;;;;;;;;;;;;x
EVTOPTB6543;We don't negotiate with terrorists.;;;;;;;;;;;;;x
#UGD;Uganda;;;;;;;;;;;;;x
EVTNAME6550;The Ugandan Independence;;;;;;;;;;;;;x
EVTDESC6550;From the demands of ugandan intellectuals to the recent popular uprisings, the nationalist sentiment in Uganda is now widespread and irreversible. The United Nations recognize the right of self determination of all peoples and the legitimacy of our rule in Uganda is hardly defensible. What shall be our position?;;;;;;;;;;;;;x
EVTOPTA6550;Grant immediate independence ensuring good diplomatic relations.;;;;;;;;;;;;;x
EVTOPTB6550;Allow self-rule while keeping control over foreign affairs.;;;;;;;;;;;;;x
EVTOPTC6550;Uganda is an integral part of our territory and forever will be.;;;;;;;;;;;;;x
EVTNAME6551;The Ugandan Independence;;;;;;;;;;;;;x
EVTDESC6551;The ugandan government has been so far complacent with our rule, but after a recent wave of nationalist and pan-african sentiments the status quo is no longer sustainable. Their leaders wish to negotiate a peaceful transition to full indepence, but they are willing to fight for it if necessary.;;;;;;;;;;;;;x
EVTOPTA6551;This was inevitable, grant them independence.;;;;;;;;;;;;;x
EVTOPTB6551;Insubordination will not be tolerated.;;;;;;;;;;;;;x
EVTNAME6552;The Ugandan War;;;;;;;;;;;;;x
EVTDESC6552;Armed groups of rebel militias continue to terrorize the population in Uganda. Our position has always been to keep the integrity of the national territory despite some internal opposition, but international pressure has increased with more and more countries supporting the immediate independence of Uganda. Now the choice between fighting for a territory rightfuly ours at great cost or to give in and save face is yours.;;;;;;;;;;;;;x
EVTOPTA6552;Enough is enough. Accept defeat with dignity.;;;;;;;;;;;;;x
EVTOPTB6552;Crush the rebel scum! Uganda is ours!;;;;;;;;;;;;;x
EVTNAME6553;The Ugandan War;;;;;;;;;;;;;x
EVTDESC6553;Despite our best efforts, the war rages on. The insurgent government has managed to hold its territory and more armed rebel militias are ready to fight. Through backdoor diplomacy we know the insurgents are willing to negotiate, shall we take the opportunity and cease hostilities or take this war to the bitter end?;;;;;;;;;;;;;x
EVTOPTA6553;Negotiate while we have the upper hand.;;;;;;;;;;;;;x
EVTOPTB6553;We don't negotiate with terrorists.;;;;;;;;;;;;;x
#ZIM;Zimbabwe;;;;;;;;;;;;;x
#ZMB;Zambia;;;;;;;;;;;;;x
EVTNAME6570;The Zambian Independence;;;;;;;;;;;;;x
EVTDESC6570;From the demands of zambian intellectuals to the recent popular uprisings, the nationalist sentiment in Zambia is now widespread and irreversible. The United Nations recognize the right of self determination of all peoples and the legitimacy of our rule in Zambia is hardly defensible. What shall be our position?;;;;;;;;;;;;;x
EVTOPTA6570;Grant immediate independence ensuring good diplomatic relations.;;;;;;;;;;;;;x
EVTOPTB6570;Allow self-rule while keeping control over foreign affairs.;;;;;;;;;;;;;x
EVTOPTC6570;Zambia is an integral part of our territory and forever will be.;;;;;;;;;;;;;x
EVTNAME6571;The Zambian Independence;;;;;;;;;;;;;x
EVTDESC6571;The zambian government has been so far complacent with our rule, but after a recent wave of nationalist and pan-african sentiments the status quo is no longer sustainable. Their leaders wish to negotiate a peaceful transition to full indepence, but they are willing to fight for it if necessary.;;;;;;;;;;;;;x
EVTOPTA6571;This was inevitable, grant them independence.;;;;;;;;;;;;;x
EVTOPTB6571;Insubordination will not be tolerated.;;;;;;;;;;;;;x
EVTNAME6572;The Zambian War;;;;;;;;;;;;;x
EVTDESC6572;Armed groups of rebel militias continue to terrorize the population in Zambia. Our position has always been to keep the integrity of the national territory despite some internal opposition, but international pressure has increased with more and more countries supporting the immediate independence of Zambia. Now the choice between fighting for a territory rightfuly ours at great cost or to give in and save face is yours.;;;;;;;;;;;;;x
EVTOPTA6572;Enough is enough. Accept defeat with dignity.;;;;;;;;;;;;;x
EVTOPTB6572;Crush the rebel scum! Zambia is ours!;;;;;;;;;;;;;x
EVTNAME6573;The Zambian War;;;;;;;;;;;;;x
EVTDESC6573;Despite our best efforts, the war rages on. The insurgent government has managed to hold its territory and more armed rebel militias are ready to fight. Through backdoor diplomacy we know the insurgents are willing to negotiate, shall we take the opportunity and cease hostilities or take this war to the bitter end?;;;;;;;;;;;;;x
EVTOPTA6573;Negotiate while we have the upper hand.;;;;;;;;;;;;;x
EVTOPTB6573;We don't negotiate with terrorists.;;;;;;;;;;;;;x
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
